x0000,y0000
0,2.301025391,
1,2.299804688,
2,2.284545898,
3,2.282226562,
4,2.281494141,
5,2.265014648,
6,2.261962891,
7,2.261474609,
8,2.245483398,
9,2.244262695,
10,2.241210938,
11,2.225463867,
12,2.222900391,
13,2.21875,
14,2.205200195,
15,2.186889648,
16,2.186889648,
17,2.183837891,
18,2.178710938,
19,2.166137695,
20,2.163574219,
21,2.147460938,
22,2.144775391,
23,2.138671875,
24,2.126342773,
25,2.120361328,
26,2.107666016,
27,2.105712891,
28,2.089233398,
29,2.086181641,
30,2.080078125,
31,2.068481445,
32,2.065429688,
33,2.049316406,
34,2.047119141,
35,2.030639648,
36,2.027587891,
37,2.021484375,
38,2.009887695,
39,2.004638672,
40,1.990356445,
41,1.988525391,
42,1.971679688,
43,1.968994141,
44,1.956665039,
45,1.949462891,
46,1.943359375,
47,1.931762695,
48,1.925048828,
49,1.912231445,
50,1.909667969,
51,1.874389648,
52,1.874389648,
53,1.874389648,
54,1.874389648,
55,1.865234375,
56,1.851806641,
57,1.845703125,
58,1.833740234,
59,1.827148438,
60,1.814575195,
61,1.80859375,
62,1.795043945,
63,1.791992188,
64,1.775878906,
65,1.773681641,
66,1.757080078,
67,1.754150391,
68,1.737670898,
69,1.734619141,
70,1.718139648,
71,1.715087891,
72,1.708984375,
73,1.695922852,
74,1.689453125,
75,1.677856445,
76,1.669921875,
77,1.658325195,
78,1.651611328,
79,1.638793945,
80,1.635742188,
81,1.619628906,
82,1.616455078,
83,1.600708008,
84,1.59765625,
85,1.581420898,
86,1.578369141,
87,1.561889648,
88,1.558837891,
89,1.55065918,
90,1.539306641,
91,1.539306641,
92,1.519775391,
93,1.513671875,
94,1.501342773,
95,1.494140625,
96,1.482543945,
97,1.4765625,
98,1.463012695,
99,1.456298828,
100,1.443481445,
101,1.440429688,
102,1.424560547,
103,1.421142578,
104,1.405639648,
105,1.402587891,
106,1.386108398,
107,1.383056641,
108,1.366577148,
109,1.363525391,
110,1.357421875,
111,1.343994141,
112,1.337890625,
113,1.324462891,
114,1.318359375,
115,1.306274414,
116,1.298828125,
117,1.287231445,
118,1.287231445,
119,1.267700195,
120,1.260986328,
121,1.248901367,
122,1.244384766,
123,1.229858398,
124,1.223144531,
125,1.210327148,
126,1.206787109,
127,1.201171875,
128,1.187744141,
129,1.181640625,
130,1.168212891,
131,1.162109375,
132,1.148681641,
133,1.142578125,
134,1.130126953,
135,1.123046875,
136,1.111083984,
137,1.103515625,
138,1.091918945,
139,1.084960938,
140,1.073608398,
141,1.065917969,
142,1.05456543,
143,1.047363281,
144,1.034790039,
145,1.027832031,
146,1.015625,
147,1.011962891,
148,0.9981689453,
149,0.9906005859,
150,0.9790039062,
151,0.9729003906,
152,0.9598388672,
153,0.9533691406,
154,0.9423828125,
155,0.9343261719,
156,0.9243164062,
157,0.9156494141,
158,0.9050292969,
159,0.8966064453,
160,0.88671875,
161,0.8778076172,
162,0.8682861328,
163,0.8681640625,
164,0.8508300781,
165,0.83984375,
166,0.8312988281,
167,0.8209228516,
168,0.8134765625,
169,0.8032226562,
170,0.7940673828,
171,0.7838134766,
172,0.7752685547,
173,0.7650146484,
174,0.7562255859,
175,0.7469482422,
176,0.7385253906,
177,0.7281494141,
178,0.7189941406,
179,0.7086181641,
180,0.7006835938,
181,0.6915283203,
182,0.68359375,
183,0.6732177734,
184,0.6640625,
185,0.6536865234,
186,0.6446533203,
187,0.6341552734,
188,0.6268310547,
189,0.6146240234,
190,0.6079101562,
191,0.5950927734,
192,0.5883789062,
193,0.5755615234,
194,0.5698242188,
195,0.5560302734,
196,0.5505371094,
197,0.5364990234,
198,0.5318603516,
199,0.5189208984,
200,0.5133056641,
201,0.5040283203,
202,0.4947509766,
203,0.4855957031,
204,0.4754638672,
205,0.46875,
206,0.4576416016,
207,0.4503173828,
208,0.4388427734,
209,0.4313964844,
210,0.4193115234,
211,0.4119873047,
212,0.3997802734,
213,0.3935546875,
214,0.3802490234,
215,0.3747558594,
216,0.3656005859,
217,0.3568115234,
218,0.3460693359,
219,0.3377685547,
220,0.3277587891,
221,0.3192138672,
222,0.3098144531,
223,0.3011474609,
224,0.2919921875,
225,0.2825927734,
226,0.2746582031,
227,0.2630615234,
228,0.2557373047,
229,0.2454833984,
230,0.2379150391,
231,0.2281494141,
232,0.2189941406,
233,0.2093505859,
234,0.1999511719,
235,0.1910400391,
236,0.1812744141,
237,0.1715087891,
238,0.1629638672,
239,0.1536865234,
240,0.1446533203,
241,0.1359863281,
242,0.1263427734,
243,0.1169433594,
244,0.1080322266,
245,0.09899902344,
246,0.08972167969,
247,0.08117675781,
248,0.07189941406,
249,0.06286621094,
250,0.05358886719,
251,0.04504394531,
252,0.03527832031,
253,0.02685546875,
254,0.01770019531,
