x0000,y0000
0,2.294921875,
5,2.261962891,
10,2.224731445,
15,2.186035156,
20,2.146606445,
25,2.107543945,
30,2.066650391,
35,2.027587891,
40,1.987304688,
45,1.943359375,
50,1.874389648,
55,1.851806641,
60,1.80859375,
65,1.757202148,
70,1.715087891,
75,1.674804688,
80,1.620239258,
85,1.578369141,
90,1.533203125,
95,1.482666016,
100,1.441650391,
105,1.396484375,
110,1.344970703,
115,1.300048828,
120,1.259765625,
125,1.207275391,
130,1.162597656,
135,1.114746094,
140,1.070556641,
145,1.025390625,
150,0.9750976562,
155,0.9301757812,
160,0.8813476562,
165,0.8366699219,
170,0.7904052734,
175,0.7427978516,
180,0.6973876953,
185,0.6500244141,
190,0.60546875,
195,0.5560302734,
200,0.5114746094,
205,0.4639892578,
210,0.4180908203,
215,0.3729248047,
220,0.3265380859,
225,0.2814941406,
230,0.2362060547,
235,0.1898193359,
240,0.1440429688,
245,0.09887695312,
250,0.0537109375,
255,0.009765625,
