x0000,y0000
0,2.380981445
1,2.379150391
2,2.379150391
3,2.377929688
4,2.362670898
5,2.361450195
6,2.359619141
7,2.342529297
8,2.33984375
9,2.320556641
10,2.301025391
11,2.281494141
12,2.245056152
13,2.221191406
14,2.182617188
15,2.143554688
16,2.108764648
17,2.069396973
18,2.029418945
19,1.988525391
20,1.949462891
21,1.910400391
22,1.865234375
23,1.815795898
24,1.775512695
25,1.734619141
26,1.689453125
27,1.640014648
28,1.599853516
29,1.558837891
30,1.513671875
31,1.464233398
32,1.435546875
33,1.385498047
34,1.343994141
35,1.298828125
36,1.259765625
37,1.208251953
38,1.162109375
39,1.112670898
40,1.066955566
41,1.019042969
42,0.972900391
43,0.927307129
44,0.87890625
45,0.833129883
46,0.783691406
47,0.736694336
48,0.70703125
49,0.661010742
50,0.610961914
51,0.56640625
52,0.516967773
53,0.473999023
54,0.424194336
55,0.377807617
56,0.330810547
57,0.282592773
58,0.233764648
59,0.187988281
60,0.144042969
61,0.097290039
62,0.048217773
63,0.001831055
