x0000,y0000
0,2.096557617,
5,2.091674805,
10,2.079467773,
15,2.075805664,
20,2.071533203,
25,2.058227539,
30,2.046508789,
35,2.035522461,
40,2.020324707,
45,2.001342773,
50,1.979370117,
55,1.951904297,
60,1.918334961,
65,1.879272461,
70,1.837768555,
75,1.791381836,
80,1.746765137,
85,1.701049805,
90,1.651000977,
95,1.605041504,
100,1.553710938,
105,1.507202148,
110,1.455688477,
115,1.40802002,
120,1.35748291,
125,1.308654785,
130,1.259765625,
135,1.209594727,
140,1.162109375,
145,1.11114502,
150,1.064453125,
155,1.011352539,
160,0.966796875,
165,0.9130859375,
170,0.8619384766,
175,0.8128051758,
180,0.7621459961,
185,0.7139282227,
190,0.6633911133,
195,0.615234375,
200,0.5645751953,
205,0.517578125,
210,0.4650878906,
215,0.4149780273,
220,0.3648681641,
225,0.3145751953,
230,0.2648925781,
235,0.21484375,
240,0.1642456055,
245,0.1146850586,
250,0.06408691406,
255,0.01281738281,
