x0000,y0000
0,2.069458008,
1,2.066650391,
2,2.064453125,
3,2.049072266,
4,2.047119141,
5,2.034790039,
6,2.029418945,
7,2.027099609,
8,2.010986328,
9,2.008056641,
10,2.002197266,
11,1.990356445,
12,1.988525391,
13,1.98034668,
14,1.969360352,
15,1.966552734,
16,1.952392578,
17,1.949462891,
18,1.943359375,
19,1.931762695,
20,1.929931641,
21,1.913452148,
22,1.910400391,
23,1.90222168,
24,1.874389648,
25,1.874389648,
26,1.874389648,
27,1.871704102,
28,1.870117188,
29,1.854125977,
30,1.851806641,
31,1.845703125,
32,1.834106445,
33,1.831054688,
34,1.815429688,
35,1.812744141,
36,1.80456543,
37,1.795043945,
38,1.791992188,
39,1.776123047,
40,1.773681641,
41,1.763427734,
42,1.754882812,
43,1.751953125,
44,1.736694336,
45,1.734619141,
46,1.718139648,
47,1.715087891,
48,1.709228516,
49,1.697509766,
50,1.694335938,
51,1.679077148,
52,1.676025391,
53,1.669921875,
54,1.658325195,
55,1.654052734,
56,1.640014648,
57,1.636962891,
58,1.624633789,
59,1.618164062,
60,1.612304688,
61,1.599975586,
62,1.597900391,
63,1.583496094,
64,1.581420898,
65,1.568115234,
66,1.560668945,
67,1.557617188,
68,1.542358398,
69,1.539306641,
70,1.533203125,
71,1.521606445,
72,1.517089844,
73,1.502685547,
74,1.500244141,
75,1.483764648,
76,1.481811523,
77,1.476074219,
78,1.463134766,
79,1.459960938,
80,1.444702148,
81,1.441650391,
82,1.435546875,
83,1.423950195,
84,1.41796875,
85,1.405639648,
86,1.402587891,
87,1.396484375,
88,1.384765625,
89,1.378173828,
90,1.365844727,
91,1.36328125,
92,1.35534668,
93,1.343994141,
94,1.337890625,
95,1.326293945,
96,1.323486328,
97,1.31628418,
98,1.304931641,
99,1.304931641,
100,1.287109375,
101,1.280517578,
102,1.268798828,
103,1.265625,
104,1.259765625,
105,1.246582031,
106,1.240234375,
107,1.228759766,
108,1.221923828,
109,1.210327148,
110,1.207275391,
111,1.201171875,
112,1.188842773,
113,1.182128906,
114,1.170898438,
115,1.166015625,
116,1.162109375,
117,1.149047852,
118,1.142578125,
119,1.131225586,
120,1.124511719,
121,1.11315918,
122,1.109619141,
123,1.103515625,
124,1.091552734,
125,1.084228516,
126,1.073242188,
127,1.066650391,
128,1.0546875,
129,1.051025391,
130,1.043945312,
131,1.033325195,
132,1.026611328,
133,1.015625,
134,1.011474609,
135,1.001464844,
136,0.9924316406,
137,0.986328125,
138,0.986328125,
139,0.9680175781,
140,0.9571533203,
141,0.9503173828,
142,0.9412841797,
143,0.9345703125,
144,0.927734375,
145,0.9166259766,
146,0.9094238281,
147,0.8985595703,
148,0.8923339844,
149,0.8819580078,
150,0.8752441406,
151,0.8664550781,
152,0.859375,
153,0.8520507812,
154,0.8422851562,
155,0.8341064453,
156,0.8258056641,
157,0.8182373047,
158,0.8099365234,
159,0.80078125,
160,0.7937011719,
161,0.7839355469,
162,0.7775878906,
163,0.7674560547,
164,0.7601318359,
165,0.7513427734,
166,0.7427978516,
167,0.7347412109,
168,0.7276611328,
169,0.7198486328,
170,0.7109375,
171,0.703125,
172,0.6927490234,
173,0.6861572266,
174,0.6781005859,
175,0.6695556641,
176,0.6627197266,
177,0.6536865234,
178,0.6457519531,
179,0.6341552734,
180,0.6298828125,
181,0.6221923828,
182,0.6136474609,
183,0.6134033203,
184,0.5950927734,
185,0.5893554688,
186,0.5765380859,
187,0.5721435547,
188,0.5649414062,
189,0.5560302734,
190,0.5485839844,
191,0.5364990234,
192,0.5311279297,
193,0.5189208984,
194,0.5133056641,
195,0.5073242188,
196,0.4974365234,
197,0.4901123047,
198,0.4779052734,
199,0.4730224609,
200,0.4652099609,
201,0.4569091797,
202,0.4501953125,
203,0.4388427734,
204,0.4322509766,
205,0.4193115234,
206,0.4150390625,
207,0.4058837891,
208,0.3988037109,
209,0.3918457031,
210,0.3802490234,
211,0.3747558594,
212,0.3636474609,
213,0.3570556641,
214,0.3480224609,
215,0.3405761719,
216,0.3338623047,
217,0.3216552734,
218,0.3162841797,
219,0.3070068359,
220,0.2996826172,
221,0.2917480469,
222,0.2825927734,
223,0.2752685547,
224,0.2662353516,
225,0.2581787109,
226,0.2492675781,
227,0.2412109375,
228,0.2322998047,
229,0.2239990234,
230,0.2163085938,
231,0.20703125,
232,0.1995849609,
233,0.1995849609,
234,0.1827392578,
235,0.1745605469,
236,0.1667480469,
237,0.1593017578,
238,0.1501464844,
239,0.1422119141,
240,0.1336669922,
241,0.1254882812,
242,0.1165771484,
243,0.1082763672,
244,0.1004638672,
245,0.09191894531,
246,0.08361816406,
247,0.07507324219,
248,0.06726074219,
249,0.05883789062,
250,0.05065917969,
251,0.04211425781,
252,0.03479003906,
253,0.02673339844,
254,0.01794433594,
