x0000,y0000
0,2.260742188,
5,2.222900391,
10,2.184204102,
15,2.145507812,
20,2.105712891,
25,2.066650391,
30,2.027587891,
35,1.987792969,
40,1.944580078,
45,1.874389648,
50,1.853637695,
55,1.812744141,
60,1.769287109,
65,1.718139648,
70,1.677490234,
75,1.636230469,
80,1.591796875,
85,1.541137695,
90,1.500244141,
95,1.455078125,
100,1.404785156,
105,1.363525391,
110,1.318847656,
115,1.268920898,
120,1.226806641,
125,1.182861328,
130,1.142578125,
135,1.091918945,
140,1.050537109,
145,1.005859375,
150,0.9565429688,
155,0.9143066406,
160,0.8686523438,
165,0.8206787109,
170,0.7775878906,
175,0.7318115234,
180,0.6860351562,
185,0.6422119141,
190,0.5950927734,
195,0.5523681641,
200,0.5096435547,
205,0.4639892578,
210,0.4193115234,
215,0.3757324219,
220,0.3308105469,
225,0.2825927734,
230,0.2410888672,
235,0.1964111328,
240,0.1501464844,
245,0.1055908203,
250,0.05981445312,
255,0.01220703125,
