x0000,y0000
0,2.26171875
5,2.222900391
10,2.184936523
15,2.14642334
20,2.106445312
25,2.066650391
30,2.027587891
35,1.988525391
40,1.947753906
45,1.9007265
50,1.85369873
55,1.812744141
60,1.76953125
65,1.718139648
70,1.677124023
75,1.63659668
80,1.591796875
85,1.54119873
90,1.500244141
95,1.455078125
100,1.404846191
105,1.3616635
110,1.318481445
115,1.268920898
120,1.226928711
125,1.182861328
130,1.142578125
135,1.092041016
140,1.051025391
145,1.005859375
150,0.956604004
155,0.913696289
160,0.867004395
165,0.820922852
170,0.777587891
175,0.731811523
180,0.686279297
185,0.642089844
190,0.595092773
195,0.552490234
200,0.50958252
205,0.464233398
210,0.419311523
215,0.375488281
220,0.330566406
225,0.282592773
230,0.241088867
235,0.195556641
240,0.150146484
245,0.105529785
250,0.059753418
255,0.012207031
