x0000,y0000
0,0.07080078125,
5,0.1141357422,
10,0.1611328125,
15,0.2045288086,
20,0.25390625,
25,0.2979736328,
30,0.3448486328,
35,0.3894042969,
40,0.439453125,
45,0.4815673828,
50,0.5280151367,
55,0.576171875,
60,0.6214599609,
65,0.6652832031,
70,0.7129516602,
75,0.7576904297,
80,0.810546875,
85,0.849609375,
90,0.8966064453,
95,0.9368896484,
100,0.9912109375,
105,1.033874512,
110,1.083984375,
115,1.124267578,
120,1.173706055,
125,1.218505859,
130,1.264648438,
135,1.307495117,
140,1.357421875,
145,1.400756836,
150,1.448974609,
155,1.491699219,
160,1.541320801,
165,1.585693359,
170,1.630737305,
175,1.674194336,
180,1.725463867,
185,1.766967773,
190,1.817626953,
195,1.859741211,
200,1.908569336,
205,1.954956055,
210,2.000732422,
215,2.040405273,
220,2.094116211,
225,2.138000488,
230,2.188598633,
235,2.230224609,
240,2.274780273,
245,2.313842773,
250,2.367553711,
255,2.411499023,
