x0000,y0000
0,0.07263183594,
5,0.1159667969,
10,0.1629638672,
15,0.2062988281,
20,0.2553100586,
25,0.2996826172,
30,0.3466796875,
35,0.390625,
40,0.4403076172,
45,0.4833984375,
50,0.5303955078,
55,0.576171875,
60,0.6231689453,
65,0.6671142578,
70,0.7141113281,
75,0.7583007812,
80,0.810546875,
85,0.8508300781,
90,0.8978271484,
95,0.9368896484,
100,0.9912109375,
105,1.033935547,
110,1.083984375,
115,1.12487793,
120,1.173706055,
125,1.217773438,
130,1.263427734,
135,1.305053711,
140,1.357177734,
145,1.39831543,
150,1.446533203,
155,1.488647461,
160,1.538085938,
165,1.583251953,
170,1.627990723,
175,1.670532227,
180,1.720581055,
185,1.764526367,
190,1.80847168,
195,1.856994629,
200,1.903686523,
205,1.942749023,
210,1.995849609,
215,2.035522461,
220,2.079467773,
225,2.130737305,
230,2.174682617,
235,2.216186523,
240,2.269897461,
245,2.311401367,
250,2.352905273,
255,2.404174805,
