x0000,y0000
0,0.03637695312,
5,0.03637695312,
10,0.03649902344,
15,0.03662109375,
20,0.06475830078,
25,0.1037597656,
30,0.1433105469,
35,0.1823120117,
40,0.2221679688,
45,0.2615356445,
50,0.3009033203,
55,0.3399658203,
60,0.380859375,
65,0.419921875,
70,0.458984375,
75,0.498046875,
80,0.537109375,
85,0.5765991211,
90,0.6162719727,
95,0.6553955078,
100,0.6945800781,
105,0.7336425781,
110,0.7727050781,
115,0.8117675781,
120,0.8508300781,
125,0.8898925781,
130,0.9289550781,
135,0.9680175781,
140,1.007507324,
145,1.046325684,
150,1.08581543,
155,1.12487793,
160,1.16394043,
165,1.20300293,
170,1.24206543,
175,1.28112793,
180,1.32019043,
185,1.35925293,
190,1.39831543,
195,1.43737793,
200,1.47644043,
205,1.51550293,
210,1.55456543,
215,1.593994141,
220,1.634338379,
225,1.67364502,
230,1.712646484,
235,1.750976562,
240,1.791259766,
245,1.830200195,
250,1.875,
255,1.908569336,
