x0000,y0000
0,0.2862548828,
5,0.3253173828,
10,0.3645629883,
15,0.4036254883,
20,0.4431152344,
25,0.4815673828,
30,0.5222167969,
35,0.5615234375,
40,0.6005859375,
45,0.6408691406,
50,0.6799316406,
55,0.7189941406,
60,0.7580566406,
65,0.7971191406,
70,0.8361816406,
75,0.8752441406,
80,0.9143066406,
85,0.9535522461,
90,0.9928588867,
95,1.031494141,
100,1.071105957,
105,1.110107422,
110,1.149291992,
115,1.18762207,
120,1.226196289,
125,1.265258789,
130,1.304321289,
135,1.343383789,
140,1.382446289,
145,1.421508789,
150,1.460571289,
155,1.499633789,
160,1.538696289,
165,1.577758789,
170,1.616821289,
175,1.655883789,
180,1.694946289,
185,1.734008789,
190,1.773071289,
195,1.812133789,
200,1.851196289,
205,1.890258789,
210,1.929321289,
215,1.968933105,
220,2.007446289,
225,2.049804688,
230,2.089416504,
235,2.128479004,
240,2.166442871,
245,2.208251953,
250,2.247314453,
255,2.286376953,
