x0000,y0000
0,0.015258789
5,0.062255859
10,0.112915039
15,0.159912109
20,0.212402344
25,0.260131836
30,0.309631348
35,0.358154297
40,0.411987305
45,0.45715332
50,0.509643555
55,0.55480957
60,0.607910156
65,0.653686523
70,0.705688477
75,0.752258301
80,0.806945801
85,0.855712891
90,0.905273438
95,0.953369141
100,1.007080078
105,1.053039551
110,1.104736328
115,1.151245117
120,1.207275391
125,1.259765625
130,1.306762695
135,1.357421875
140,1.404418945
145,1.456054688
150,1.502075195
155,1.553955078
160,1.600952148
165,1.656494141
170,1.704833984
175,1.754150391
180,1.806640625
185,1.851806641
190,1.900635
195,1.949462891
200,2.006835938
205,2.048583984
210,2.104492188
215,2.146606445
220,2.186889648
225,2.244812012
230,2.301025391
235,2.342163086
240,2.398681641
245,2.440795898
250,2.496337891
255,2.499389648
