x0000,y0000
0,0.3216552734,
1,0.3276367188,
2,0.3343505859,
3,0.3392333984,
4,0.3453979492,
5,0.352722168,
6,0.3564453125,
7,0.3607177734,
8,0.3668212891,
9,0.3732299805,
10,0.3779907227,
11,0.3802490234,
12,0.3914794922,
13,0.395324707,
14,0.3997802734,
15,0.4052734375,
16,0.4124755859,
17,0.4168701172,
18,0.4193115234,
19,0.4289550781,
20,0.4341430664,
21,0.4388427734,
22,0.4439697266,
23,0.4510498047,
24,0.4556884766,
25,0.4583740234,
26,0.46875,
27,0.4724121094,
28,0.4779052734,
29,0.4783935547,
30,0.4901123047,
31,0.4937744141,
32,0.4974365234,
33,0.5061035156,
34,0.5114746094,
35,0.516784668,
36,0.5169677734,
37,0.5286865234,
38,0.5328369141,
39,0.5364990234,
40,0.546875,
41,0.5505371094,
42,0.5560302734,
43,0.5570068359,
44,0.5684204102,
45,0.5731201172,
46,0.5755615234,
47,0.5856933594,
48,0.5900878906,
49,0.5950927734,
50,0.5999755859,
51,0.6072998047,
52,0.6119384766,
53,0.6146240234,
54,0.6231079102,
55,0.6282958984,
56,0.6341552734,
57,0.6390380859,
58,0.6453857422,
59,0.6500244141,
60,0.6536865234,
61,0.6616210938,
62,0.667175293,
63,0.6730957031,
64,0.6781005859,
65,0.6841430664,
66,0.6892089844,
67,0.6927490234,
68,0.7016601562,
69,0.7060546875,
70,0.7122802734,
71,0.7171630859,
72,0.7232666016,
73,0.7281494141,
74,0.7327880859,
75,0.7414550781,
76,0.7447509766,
77,0.7510986328,
78,0.7562255859,
79,0.76171875,
80,0.7674560547,
81,0.7739868164,
82,0.7791748047,
83,0.7836914062,
84,0.7904052734,
85,0.7965698242,
86,0.8010864258,
87,0.8062744141,
88,0.8134155273,
89,0.818359375,
90,0.8227539062,
91,0.8291625977,
92,0.8347167969,
93,0.83984375,
94,0.844909668,
95,0.8520507812,
96,0.8577270508,
97,0.8618164062,
98,0.8680419922,
99,0.8737792969,
100,0.8785400391,
101,0.8837890625,
102,0.8911132812,
103,0.8959960938,
104,0.9008789062,
105,0.908203125,
106,0.9135131836,
107,0.9173583984,
108,0.9233398438,
109,0.9301757812,
110,0.9351806641,
111,0.9378051758,
112,0.947265625,
113,0.9503173828,
114,0.9564208984,
115,0.9608154297,
116,0.9688720703,
117,0.9733886719,
118,0.9765625,
119,0.986328125,
120,0.9893798828,
121,0.9943237305,
122,1.005859375,
123,1.007080078,
124,1.011962891,
125,1.015625,
126,1.025390625,
127,1.028076172,
128,1.033325195,
129,1.038330078,
130,1.046142578,
131,1.051025391,
132,1.054260254,
133,1.064453125,
134,1.066894531,
135,1.072387695,
136,1.083984375,
137,1.085205078,
138,1.090087891,
139,1.093139648,
140,1.103515625,
141,1.105957031,
142,1.11138916,
143,1.123046875,
144,1.123046875,
145,1.129150391,
146,1.131591797,
147,1.142578125,
148,1.145019531,
149,1.149963379,
150,1.162109375,
151,1.162109375,
152,1.168212891,
153,1.170532227,
154,1.181640625,
155,1.182861328,
156,1.188842773,
157,1.190795898,
158,1.201171875,
159,1.207275391,
160,1.210083008,
161,1.220703125,
162,1.223876953,
163,1.22833252,
164,1.240234375,
165,1.241088867,
166,1.246337891,
167,1.248779297,
168,1.259765625,
169,1.265380859,
170,1.267700195,
171,1.279296875,
172,1.280517578,
173,1.285400391,
174,1.288269043,
175,1.298828125,
176,1.304931641,
177,1.306762695,
178,1.318359375,
179,1.319091797,
180,1.324462891,
181,1.326843262,
182,1.337890625,
183,1.342041016,
184,1.345825195,
185,1.347045898,
186,1.358276367,
187,1.363525391,
188,1.365783691,
189,1.376953125,
190,1.382080078,
191,1.384460449,
192,1.387145996,
193,1.396606445,
194,1.402587891,
195,1.404418945,
196,1.416015625,
197,1.419433594,
198,1.422912598,
199,1.425170898,
200,1.435546875,
201,1.441650391,
202,1.443481445,
203,1.445739746,
204,1.45703125,
205,1.461181641,
206,1.464172363,
207,1.474609375,
208,1.480712891,
209,1.482543945,
210,1.484802246,
211,1.495727539,
212,1.500671387,
213,1.503295898,
214,1.513671875,
215,1.519775391,
216,1.521606445,
217,1.533203125,
218,1.53515625,
219,1.539306641,
220,1.542297363,
221,1.552734375,
222,1.558837891,
223,1.560668945,
224,1.561889648,
225,1.573486328,
226,1.578369141,
227,1.580993652,
228,1.591796875,
229,1.597900391,
230,1.599731445,
231,1.600952148,
232,1.612548828,
233,1.617431641,
234,1.619873047,
235,1.630859375,
236,1.636962891,
237,1.638793945,
238,1.641052246,
239,1.651611328,
240,1.656494141,
241,1.658691406,
242,1.669921875,
243,1.67578125,
244,1.676025391,
245,1.679077148,
246,1.69140625,
247,1.695556641,
248,1.697998047,
249,1.708984375,
250,1.715087891,
251,1.716918945,
252,1.718139648,
253,1.730102539,
254,1.734619141,
