x0000,y0000
0,0.3751220703,
1,0.3802490234,
2,0.3884277344,
3,0.3959960938,
4,0.3997802734,
5,0.4119873047,
6,0.4190673828,
7,0.4254150391,
8,0.4342041016,
9,0.4388427734,
10,0.4504394531,
11,0.4559326172,
12,0.4632568359,
13,0.4724121094,
14,0.4779052734,
15,0.4858398438,
16,0.4937744141,
17,0.4974365234,
18,0.5096435547,
19,0.5166015625,
20,0.5242919922,
21,0.5316162109,
22,0.5364990234,
23,0.5477294922,
24,0.5535888672,
25,0.5560302734,
26,0.5688476562,
27,0.5755615234,
28,0.5859375,
29,0.5914306641,
30,0.5950927734,
31,0.6072998047,
32,0.6146240234,
33,0.6218261719,
34,0.6290283203,
35,0.6341552734,
36,0.6450195312,
37,0.6512451172,
38,0.6585693359,
39,0.6665039062,
40,0.6732177734,
41,0.68359375,
42,0.6895751953,
43,0.6976318359,
44,0.7055664062,
45,0.7122802734,
46,0.7208251953,
47,0.7277832031,
48,0.7362060547,
49,0.7427978516,
50,0.7510986328,
51,0.7581787109,
52,0.7647705078,
53,0.7739257812,
54,0.7811279297,
55,0.7877197266,
56,0.7971191406,
57,0.8032226562,
58,0.8099365234,
59,0.8184814453,
60,0.8258056641,
61,0.8336181641,
62,0.8404541016,
63,0.8493652344,
64,0.8569335938,
65,0.8624267578,
66,0.8720703125,
67,0.8784179688,
68,0.8868408203,
69,0.8947753906,
70,0.9008789062,
71,0.9106445312,
72,0.9173583984,
73,0.9246826172,
74,0.9338378906,
75,0.9378662109,
76,0.9484863281,
77,0.9549560547,
78,0.9611816406,
79,0.9711914062,
80,0.9765625,
81,0.986328125,
82,0.9926757812,
83,0.9985351562,
84,1.011962891,
85,1.015014648,
86,1.025390625,
87,1.031494141,
88,1.036499023,
89,1.046142578,
90,1.052856445,
91,1.064453125,
92,1.070556641,
93,1.073608398,
94,1.085205078,
95,1.090820312,
96,1.103515625,
97,1.107177734,
98,1.112670898,
99,1.123046875,
100,1.129150391,
101,1.142578125,
102,1.145019531,
103,1.150512695,
104,1.162109375,
105,1.168212891,
106,1.171264648,
107,1.182861328,
108,1.188964844,
109,1.201171875,
110,1.20703125,
111,1.209472656,
112,1.220703125,
113,1.226806641,
114,1.240234375,
115,1.245117188,
116,1.248168945,
117,1.259765625,
118,1.265869141,
119,1.268920898,
120,1.280517578,
121,1.285400391,
122,1.298828125,
123,1.303222656,
124,1.306762695,
125,1.318359375,
126,1.324462891,
127,1.327514648,
128,1.339111328,
129,1.345825195,
130,1.357421875,
131,1.363525391,
132,1.365966797,
133,1.376953125,
134,1.383056641,
135,1.39440918,
136,1.401367188,
137,1.404418945,
138,1.416015625,
139,1.422119141,
140,1.425170898,
141,1.438232422,
142,1.443481445,
143,1.446777344,
144,1.461181641,
145,1.463012695,
146,1.474609375,
147,1.480712891,
148,1.483764648,
149,1.496826172,
150,1.502075195,
151,1.513671875,
152,1.519775391,
153,1.522827148,
154,1.534423828,
155,1.539306641,
156,1.552734375,
157,1.558837891,
158,1.561035156,
159,1.572265625,
160,1.578369141,
161,1.583496094,
162,1.597900391,
163,1.599731445,
164,1.611328125,
165,1.617431641,
166,1.620483398,
167,1.635742188,
168,1.638793945,
169,1.650390625,
170,1.656494141,
171,1.658935547,
172,1.674804688,
173,1.677490234,
174,1.679077148,
175,1.695556641,
176,1.697387695,
177,1.708984375,
178,1.715087891,
179,1.718139648,
180,1.733886719,
181,1.736450195,
182,1.748046875,
183,1.754150391,
184,1.756958008,
185,1.768798828,
186,1.774047852,
187,1.776733398,
188,1.793212891,
189,1.795043945,
190,1.806884766,
191,1.812744141,
192,1.815795898,
193,1.831054688,
194,1.834106445,
195,1.845703125,
196,1.851806641,
197,1.854248047,
198,1.870117188,
199,1.871337891,
200,1.874389648,
201,1.874389648,
202,1.874389648,
203,1.874389648,
204,1.910400391,
205,1.913208008,
206,1.928710938,
207,1.931396484,
208,1.94128418,
209,1.949462891,
210,1.951904297,
211,1.964111328,
212,1.968994141,
213,1.972045898,
214,1.988525391,
215,1.990356445,
216,2.002197266,
217,2.008056641,
218,2.011108398,
219,2.026367188,
220,2.029418945,
221,2.032714844,
222,2.047119141,
223,2.049560547,
224,2.065429688,
225,2.067016602,
226,2.069702148,
227,2.086181641,
228,2.088012695,
229,2.099609375,
230,2.105712891,
231,2.108642578,
232,2.125244141,
233,2.127075195,
234,2.138671875,
235,2.144775391,
236,2.146972656,
237,2.159423828,
238,2.164306641,
239,2.17565918,
240,2.183837891,
241,2.185668945,
242,2.186889648,
243,2.203369141,
244,2.206298828,
245,2.221923828,
246,2.224731445,
247,2.228027344,
248,2.242431641,
249,2.244506836,
250,2.260742188,
251,2.261962891,
252,2.265014648,
253,2.281494141,
254,2.283325195,
