x0000,y0000
0,0.378417969
5,0.415649414
10,0.453674316
15,0.491210938
20,0.529174805
25,0.56640625
30,0.603027344
35,0.639038086
40,0.6781005
45,0.717163086
50,0.754272461
55,0.790405273
60,0.829467773
65,0.866516113
70,0.90411377
75,0.940551758
80,0.979003906
85,1.015686035
90,1.05456543
95,1.091918945
100,1.130981445
105,1.168212891
110,1.207275391
115,1.246337891
120,1.281616211
125,1.318359375
130,1.357421875
135,1.396484375
140,1.425170898
145,1.463623047
150,1.502075195
155,1.541137695
160,1.57989502
165,1.617431641
170,1.656494141
175,1.695556641
180,1.733398438
185,1.768798828
190,1.806640625
195,1.845703125
200,1.874389648
205,1.912719727
210,1.951293945
215,1.990356445
220,2.027770996
225,2.066650391
230,2.105712891
235,2.144775391
240,2.182617188
245,2.221679688
250,2.251708984
255,2.293884277
